Record_ID,Customer_ID,Activity_Month,Region,District,Area_Type,Gender,Age_Group,Customer_Segment,Customer_Tenure_Months,Device_Type,Network_Generation,Primary_Use_Case,Bundle_Tier,Bundle_Configuration,Bundle_Price_MWK,Purchase_Channel,Payment_Method,Promotion_Received,Purchase_Count,Included_Data_MB_Per_Purchase,Included_Voice_Min_Per_Purchase,Included_SMS_Per_Purchase,Total_Data_Allowance_MB,Data_Used_MB,Data_Utilisation_Pct,Total_Voice_Allowance_Min,Voice_Used_Min,Voice_Utilisation_Pct,Total_SMS_Allowance,SMS_Used,SMS_Utilisation_Pct,Total_Bundle_Spend_MWK,Avg_Download_Speed_Mbps,Network_Downtime_Hours,Dropped_Call_Count,Support_Contacts,Complaint_Category,Complaint_Resolved,Resolution_Time_Hours,Satisfaction_Score,NPS_Score,Repeat_Purchase_Within_30_Days,Churn_Risk,Customer_Status
REC-0011,TNM-C0004,2026-04-01,Southern,Chikwawa,Rural,Male,35–44,SME / Trader,75,Entry Smartphone,4G,Work / Business,Mxit 1000,Balanced,1000,USSD *202#,Airtime Balance,Yes,6,300,20,100,1800,1189,0.6606,120,107,0.8917,600,537,0.895,6000,8.18,2.7,2,0,None,Not Applicable,0.0,5,9,Yes,Low,Active
REC-0012,TNM-C0004,2026-05-01,Southern,Chikwawa,Rural,Male,35–44,SME / Trader,76,Entry Smartphone,4G,Work / Business,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,6,405,12,65,2430,1711,0.7041,72,60,0.8333,390,248,0.6359,6000,6.83,1.5,1,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
REC-0013,TNM-C0004,2026-06-01,Southern,Chikwawa,Rural,Male,35–44,SME / Trader,77,Entry Smartphone,4G,Work / Business,Mxit 10000,Data Heavy,10000,USSD *202#,Airtime Balance,No,1,11059,210,650,11059,11023,0.9967,210,181,0.8619,650,490,0.7538,10000,11.05,1.7,3,0,None,Not Applicable,0.0,5,8,Yes,Low,Active
REC-0014,TNM-C0005,2026-01-01,Southern,Mulanje,Rural,Male,25–34,SME / Trader,33,Feature Phone,2G,Work / Business,Mxit 2000,Balanced,2000,USSD *202#,Airtime Balance,No,4,1024,50,300,4096,2952,0.7207,200,148,0.74,1200,351,0.2925,8000,0.08,14.9,4,0,None,Not Applicable,0.0,3,4,No,High,Churned
REC-0015,TNM-C0006,2026-01-01,Southern,Mangochi,Urban,Female,18–24,Student,24,Premium Smartphone,4G,Work / Business,Mxit 500,Balanced,500,USSD *202#,Airtime Balance,No,6,120,8,30,720,692,0.9611,48,29,0.6042,180,79,0.4389,3000,10.96,3.3,1,0,None,Not Applicable,0.0,4,6,No,Low,At Risk
REC-0016,TNM-C0006,2026-02-01,Southern,Mangochi,Urban,Female,18–24,Student,25,Premium Smartphone,4G,Work / Business,Mxit 2000,Social & Messaging,2000,TNM Smart App,Mpamba Wallet,No,2,942,30,525,1884,1567,0.8317,60,25,0.4167,1050,826,0.7867,4000,29.22,5.0,2,0,None,Not Applicable,0.0,5,10,Yes,Low,Active
REC-0017,TNM-C0006,2026-03-01,Southern,Mangochi,Urban,Female,18–24,Student,26,Premium Smartphone,4G,Work / Business,Mxit 1000,Balanced,1000,TNM Smart App,Airtime Balance,No,3,300,20,100,900,557,0.6189,60,47,0.7833,300,194,0.6467,3000,32.92,5.6,1,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0018,TNM-C0006,2026-04-01,Southern,Mangochi,Urban,Female,18–24,Student,27,Premium Smartphone,4G,Work / Business,Mxit 5000,Data Heavy,5000,TNM Smart App,Airtime Balance,No,1,4147,90,325,4147,3406,0.8213,90,26,0.2889,325,55,0.1692,5000,13.94,1.6,1,0,None,Not Applicable,0.0,4,5,Yes,Low,Active
REC-0019,TNM-C0006,2026-05-01,Southern,Mangochi,Urban,Female,18–24,Student,28,Premium Smartphone,4G,Work / Business,Mxit 5000,Balanced,5000,TNM Smart App,Mpamba Wallet,No,2,3072,150,500,6144,6144,1.0,300,232,0.7733,1000,463,0.463,10000,31.33,4.8,1,0,None,Not Applicable,0.0,4,9,Yes,Low,Active
REC-0020,TNM-C0006,2026-06-01,Southern,Mangochi,Urban,Female,18–24,Student,29,Premium Smartphone,4G,Work / Business,Mxit 2000,Voice Heavy,2000,USSD *202#,Airtime Balance,No,1,635,72,300,635,544,0.8567,72,61,0.8472,300,130,0.4333,2000,26.69,2.7,1,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0021,TNM-C0007,2026-03-01,Southern,Blantyre,Urban,Male,25–34,Student,45,Feature Phone,3G,Social Media,Mxit 500,Data Heavy,500,USSD *202#,Airtime Balance,Yes,5,162,5,20,810,632,0.7802,25,14,0.56,100,72,0.72,2500,3.38,7.4,4,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0022,TNM-C0007,2026-04-01,Southern,Blantyre,Urban,Male,25–34,Student,46,Feature Phone,3G,Social Media,Mxit 200,Balanced,200,USSD *202#,Airtime Balance,No,5,25,3,10,125,85,0.68,15,5,0.3333,50,34,0.68,1000,3.32,9.7,3,0,None,Not Applicable,0.0,3,5,Yes,Low,Active
REC-0023,TNM-C0007,2026-05-01,Southern,Blantyre,Urban,Male,25–34,Student,47,Feature Phone,3G,Social Media,Mxit 500,Social & Messaging,500,USSD *202#,Mpamba Wallet,Yes,8,110,5,52,880,408,0.4636,40,20,0.5,416,279,0.6707,4000,8.41,7.8,3,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0024,TNM-C0007,2026-06-01,Southern,Blantyre,Urban,Male,25–34,Student,48,Feature Phone,3G,Social Media,Mxit 500,Social & Messaging,500,USSD *202#,Airtime Balance,No,7,110,5,52,770,594,0.7714,35,14,0.4,364,141,0.3874,3500,6.91,10.0,5,1,Bundle Activation,Yes,6.3,2,1,Yes,High,At Risk
REC-0025,TNM-C0008,2026-02-01,Southern,Zomba,Urban,Male,55+,Farmer,96,Mid-range Smartphone,3G,Mobile Money,Mxit 1000,Balanced,1000,TNM Smart App,Airtime Balance,No,2,300,20,100,600,211,0.3517,40,13,0.325,200,103,0.515,2000,6.6,6.0,5,0,None,Not Applicable,0.0,3,7,Yes,Low,Active
REC-0026,TNM-C0008,2026-03-01,Southern,Zomba,Urban,Male,55+,Farmer,97,Mid-range Smartphone,3G,Mobile Money,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,4,405,12,65,1620,304,0.1877,48,4,0.0833,260,195,0.75,4000,7.9,8.2,2,0,None,Not Applicable,0.0,3,2,Yes,Medium,Active
REC-0027,TNM-C0008,2026-04-01,Southern,Zomba,Urban,Male,55+,Farmer,98,Mid-range Smartphone,3G,Mobile Money,Mxit 500,Balanced,500,TNM Smart App,Airtime Balance,No,3,120,8,30,360,167,0.4639,24,11,0.4583,90,71,0.7889,1500,5.02,6.1,2,0,None,Not Applicable,0.0,3,5,Yes,Low,Active
REC-0028,TNM-C0008,2026-05-01,Southern,Zomba,Urban,Male,55+,Farmer,99,Mid-range Smartphone,3G,Mobile Money,Mxit 200,Balanced,200,USSD *202#,Airtime Balance,No,8,25,3,10,200,76,0.38,24,13,0.5417,80,61,0.7625,1600,5.99,10.4,5,1,Unexpected Bundle Depletion,No,36.0,1,0,Yes,High,At Risk
REC-0029,TNM-C0008,2026-06-01,Southern,Zomba,Urban,Male,55+,Farmer,100,Mid-range Smartphone,3G,Mobile Money,Mxit 2000,Balanced,2000,USSD *202#,Airtime Balance,No,2,1024,50,300,2048,1174,0.5732,100,49,0.49,600,225,0.375,4000,3.52,5.2,3,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
REC-0030,TNM-C0009,2026-02-01,Central,Mchinji,Rural,Male,25–34,Student,42,Entry Smartphone,2G,Entertainment,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,2,405,12,65,810,645,0.7963,24,9,0.375,130,75,0.5769,2000,0.37,11.3,8,0,None,Not Applicable,0.0,2,2,Yes,High,At Risk
REC-0031,TNM-C0009,2026-03-01,Central,Mchinji,Rural,Male,25–34,Student,43,Entry Smartphone,2G,Entertainment,Mxit 2000,Data Heavy,2000,USSD *202#,Airtime Balance,No,3,1382,30,195,4146,4146,1.0,90,35,0.3889,585,378,0.6462,6000,0.16,21.2,10,0,None,Not Applicable,0.0,2,2,No,High,Churned
REC-0032,TNM-C0010,2026-03-01,Central,Lilongwe,Urban,Male,18–24,Farmer,33,Entry Smartphone,4G,Mobile Money,Mxit 200,Balanced,200,TNM Smart App,Airtime Balance,Yes,10,25,3,10,250,139,0.556,30,24,0.8,100,78,0.78,2000,30.04,3.6,1,1,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0033,TNM-C0010,2026-04-01,Central,Lilongwe,Urban,Male,18–24,Farmer,34,Entry Smartphone,4G,Mobile Money,Mxit 500,Social & Messaging,500,USSD *202#,Airtime Balance,No,4,110,5,52,440,117,0.2659,20,8,0.4,208,166,0.7981,2000,24.81,5.3,1,0,None,Not Applicable,0.0,4,8,No,Low,At Risk
REC-0034,TNM-C0011,2026-02-01,Central,Salima,Rural,Female,25–34,SME / Trader,22,Entry Smartphone,4G,Work / Business,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,4,405,12,65,1620,1139,0.7031,48,37,0.7708,260,201,0.7731,4000,15.35,0.9,1,0,None,Not Applicable,0.0,5,7,Yes,Low,Active
REC-0035,TNM-C0011,2026-03-01,Central,Salima,Rural,Female,25–34,SME / Trader,23,Entry Smartphone,4G,Work / Business,Mxit 2000,Balanced,2000,USSD *202#,Airtime Balance,No,2,1024,50,300,2048,1374,0.6709,100,81,0.81,600,444,0.74,4000,29.19,3.8,4,0,None,Not Applicable,0.0,3,7,Yes,Low,Active
REC-0036,TNM-C0011,2026-04-01,Central,Salima,Rural,Female,25–34,SME / Trader,24,Entry Smartphone,4G,Work / Business,Mxit 5000,Balanced,5000,USSD *202#,Airtime Balance,No,3,3072,150,500,9216,7831,0.8497,450,234,0.52,1500,661,0.4407,15000,21.34,0.4,0,3,Unexpected Bundle Depletion,Yes,4.6,4,8,No,Low,At Risk
REC-0037,TNM-C0012,2026-01-01,Central,Lilongwe,Rural,Male,18–24,SME / Trader,12,Feature Phone,2G,Work / Business,Mxit 200,Balanced,200,USSD *202#,Airtime Balance,Yes,7,25,3,10,175,175,1.0,21,10,0.4762,70,26,0.3714,1400,0.13,8.3,3,0,None,Not Applicable,0.0,4,9,Yes,Low,Active
REC-0038,TNM-C0012,2026-02-01,Central,Lilongwe,Rural,Male,18–24,SME / Trader,13,Feature Phone,2G,Work / Business,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,6,405,12,65,2430,2132,0.8774,72,51,0.7083,390,207,0.5308,6000,0.31,9.5,8,0,None,Not Applicable,0.0,3,5,No,High,Churned
REC-0039,TNM-C0013,2026-01-01,Northern,Mzimba,Rural,Male,25–34,SME / Trader,43,Feature Phone,2G,Social Media,Mxit 500,Data Heavy,500,USSD *202#,Airtime Balance,No,9,162,5,20,1458,805,0.5521,45,32,0.7111,180,109,0.6056,4500,0.29,20.8,3,0,None,Not Applicable,0.0,2,2,Yes,High,At Risk
REC-0040,TNM-C0013,2026-02-01,Northern,Mzimba,Rural,Male,25–34,SME / Trader,44,Feature Phone,2G,Social Media,Mxit 1000,Social & Messaging,1000,USSD *202#,Airtime Balance,No,3,276,12,175,828,828,1.0,36,18,0.5,525,342,0.6514,3000,0.3,12.9,10,0,None,Not Applicable,0.0,2,3,No,High,At Risk
REC-0041,TNM-C0013,2026-03-01,Northern,Mzimba,Rural,Male,25–34,SME / Trader,45,Feature Phone,2G,Social Media,Mxit 2000,Balanced,2000,USSD *202#,Airtime Balance,No,4,1024,50,300,4096,2998,0.7319,200,70,0.35,1200,1129,0.9408,8000,0.22,16.6,4,0,None,Not Applicable,0.0,2,5,No,Medium,At Risk
REC-0042,TNM-C0014,2026-05-01,Northern,Karonga,Rural,Male,25–34,Other,71,Feature Phone,2G,Mobile Money,Mxit 1000,Balanced,1000,USSD *202#,Airtime Balance,No,3,300,20,100,900,336,0.3733,60,44,0.7333,300,128,0.4267,3000,0.07,7.2,11,0,None,Not Applicable,0.0,3,6,Yes,Low,Active
REC-0043,TNM-C0014,2026-06-01,Northern,Karonga,Rural,Male,25–34,Other,72,Feature Phone,2G,Mobile Money,Mxit 200,Balanced,200,USSD *202#,Airtime Balance,No,5,25,3,10,125,37,0.296,15,3,0.2,50,39,0.78,1000,0.16,10.8,6,0,None,Not Applicable,0.0,3,4,Yes,Medium,Active
REC-0044,TNM-C0015,2026-01-01,Southern,Mangochi,Rural,Female,25–34,Student,50,Feature Phone,3G,Education,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,3,405,12,65,1215,1007,0.8288,36,9,0.25,195,163,0.8359,3000,3.07,10.3,6,0,None,Not Applicable,0.0,2,2,No,High,At Risk
REC-0045,TNM-C0016,2026-02-01,Central,Mchinji,Rural,Male,25–34,Farmer,25,Feature Phone,3G,Work / Business,Mxit 200,Data Heavy,200,USSD *202#,Airtime Balance,Yes,9,34,2,6,306,130,0.4248,18,17,0.9444,54,35,0.6481,1800,4.25,14.3,1,0,None,Not Applicable,0.0,4,10,Yes,Low,Active
REC-0046,TNM-C0016,2026-03-01,Central,Mchinji,Rural,Male,25–34,Farmer,26,Feature Phone,3G,Work / Business,Mxit 200,Data Heavy,200,USSD *202#,Airtime Balance,Yes,10,34,2,6,340,181,0.5324,20,13,0.65,60,41,0.6833,2000,5.77,9.7,1,2,Poor Coverage,No,35.7,2,5,No,High,Churned
REC-0047,TNM-C0017,2026-01-01,Southern,Machinga,Urban,Female,18–24,Informal Worker,55,Premium Smartphone,4G,Entertainment,Mxit 5000,Data Heavy,5000,TNM Smart App,Mpamba Wallet,No,2,4147,90,325,8294,8294,1.0,180,54,0.3,650,315,0.4846,10000,29.69,4.8,2,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
REC-0048,TNM-C0017,2026-02-01,Southern,Machinga,Urban,Female,18–24,Informal Worker,56,Premium Smartphone,4G,Entertainment,Mxit 5000,Data Heavy,5000,USSD *202#,Airtime Balance,Yes,3,4147,90,325,12441,12441,1.0,270,117,0.4333,975,362,0.3713,15000,8.84,1.9,2,0,None,Not Applicable,0.0,4,9,Yes,Low,Active
REC-0049,TNM-C0017,2026-03-01,Southern,Machinga,Urban,Female,18–24,Informal Worker,57,Premium Smartphone,4G,Entertainment,Mxit 2000,Data Heavy,2000,USSD *202#,Airtime Balance,No,2,1382,30,195,2764,2764,1.0,60,11,0.1833,390,274,0.7026,4000,32.86,0.6,1,0,None,Not Applicable,0.0,3,5,No,Low,At Risk
REC-0050,TNM-C0017,2026-04-01,Southern,Machinga,Urban,Female,18–24,Informal Worker,58,Premium Smartphone,4G,Entertainment,Mxit 1000,Balanced,1000,TNM Smart App,Airtime Balance,Yes,6,300,20,100,1800,1800,1.0,120,50,0.4167,600,301,0.5017,6000,16.24,5.4,1,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0051,TNM-C0017,2026-05-01,Southern,Machinga,Urban,Female,18–24,Informal Worker,59,Premium Smartphone,4G,Entertainment,Mxit 2000,Data Heavy,2000,USSD *202#,Airtime Balance,Yes,2,1382,30,195,2764,2676,0.9682,60,8,0.1333,390,21,0.0538,4000,25.35,4.1,1,2,App / USSD Failure,Yes,7.2,3,6,Yes,Low,Active
REC-0052,TNM-C0017,2026-06-01,Southern,Machinga,Urban,Female,18–24,Informal Worker,60,Premium Smartphone,4G,Entertainment,Mxit 2000,Data Heavy,2000,TNM Smart App,Mpamba Wallet,No,2,1382,30,195,2764,2588,0.9363,60,15,0.25,390,119,0.3051,4000,16.03,5.9,2,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0053,TNM-C0018,2026-01-01,Southern,Chikwawa,Rural,Female,35–44,Salaried Employee,78,Mid-range Smartphone,4G,Education,Mxit 5000,Social & Messaging,5000,USSD *202#,Airtime Balance,No,2,2826,90,875,5652,3458,0.6118,180,65,0.3611,1750,595,0.34,10000,26.39,2.4,2,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0054,TNM-C0018,2026-02-01,Southern,Chikwawa,Rural,Female,35–44,Salaried Employee,79,Mid-range Smartphone,4G,Education,Mxit 2000,Data Heavy,2000,USSD *202#,Airtime Balance,No,4,1382,30,195,5528,4129,0.7469,120,73,0.6083,780,322,0.4128,8000,11.25,2.9,1,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0055,TNM-C0018,2026-03-01,Southern,Chikwawa,Rural,Female,35–44,Salaried Employee,80,Mid-range Smartphone,4G,Education,Mxit 2000,Data Heavy,2000,USSD *202#,Airtime Balance,Yes,3,1382,30,195,4146,3552,0.8567,90,39,0.4333,585,309,0.5282,6000,21.82,6.4,2,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0056,TNM-C0018,2026-04-01,Southern,Chikwawa,Rural,Female,35–44,Salaried Employee,81,Mid-range Smartphone,4G,Education,Mxit 500,Data Heavy,500,USSD *202#,Airtime Balance,No,6,162,5,20,972,566,0.5823,30,16,0.5333,120,64,0.5333,3000,10.05,6.9,2,0,None,Not Applicable,0.0,3,6,No,Low,At Risk
REC-0057,TNM-C0018,2026-05-01,Southern,Chikwawa,Rural,Female,35–44,Salaried Employee,82,Mid-range Smartphone,4G,Education,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,Yes,3,405,12,65,1215,901,0.7416,36,22,0.6111,195,79,0.4051,3000,26.91,4.4,1,0,None,Not Applicable,0.0,3,4,No,High,Churned
REC-0058,TNM-C0019,2026-05-01,Southern,Zomba,Urban,Male,18–24,SME / Trader,41,Entry Smartphone,3G,Work / Business,Mxit 500,Balanced,500,USSD *202#,Mpamba Wallet,No,4,120,8,30,480,357,0.7438,32,16,0.5,120,52,0.4333,2000,6.65,6.9,1,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0059,TNM-C0019,2026-06-01,Southern,Zomba,Urban,Male,18–24,SME / Trader,42,Entry Smartphone,3G,Work / Business,Mxit 500,Balanced,500,TNM Smart App,Airtime Balance,Yes,8,120,8,30,960,673,0.701,64,51,0.7969,240,122,0.5083,4000,9.06,8.6,3,0,None,Not Applicable,0.0,4,9,Yes,Low,Active
REC-0060,TNM-C0020,2026-04-01,Central,Salima,Urban,Female,25–34,Salaried Employee,40,Premium Smartphone,4G,Education,Mxit 5000,Data Heavy,5000,TNM Smart App,Mpamba Wallet,No,2,4147,90,325,8294,7295,0.8796,180,39,0.2167,650,158,0.2431,10000,20.04,4.8,2,1,Unexpected Bundle Depletion,Yes,13.6,4,8,Yes,Low,Active
REC-0061,TNM-C0020,2026-05-01,Central,Salima,Urban,Female,25–34,Salaried Employee,41,Premium Smartphone,4G,Education,Mxit 10000,Data Heavy,10000,USSD *202#,Airtime Balance,No,1,11059,210,650,11059,8771,0.7931,210,62,0.2952,650,370,0.5692,10000,32.26,3.6,2,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
REC-0062,TNM-C0020,2026-06-01,Central,Salima,Urban,Female,25–34,Salaried Employee,42,Premium Smartphone,4G,Education,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,Yes,3,405,12,65,1215,1053,0.8667,36,23,0.6389,195,130,0.6667,3000,24.72,5.6,1,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0063,TNM-C0021,2026-03-01,Northern,Mzimba,Rural,Female,25–34,Farmer,59,Feature Phone,3G,Mobile Money,Mxit 200,Social & Messaging,200,USSD *202#,Airtime Balance,No,5,23,2,18,115,30,0.2609,10,5,0.5,90,90,1.0,1000,2.03,10.0,5,1,Unexpected Bundle Depletion,Yes,15.3,2,4,Yes,High,At Risk
REC-0064,TNM-C0021,2026-04-01,Northern,Mzimba,Rural,Female,25–34,Farmer,60,Feature Phone,3G,Mobile Money,Mxit 1000,Balanced,1000,USSD *202#,Airtime Balance,No,4,300,20,100,1200,441,0.3675,80,52,0.65,400,272,0.68,4000,4.15,14.5,7,0,None,Not Applicable,0.0,2,0,No,High,Churned
REC-0065,TNM-C0022,2026-03-01,Northern,Rumphi,Rural,Female,35–44,Student,55,Mid-range Smartphone,4G,Entertainment,Mxit 2000,Balanced,2000,USSD *202#,Mpamba Wallet,No,2,1024,50,300,2048,2048,1.0,100,43,0.43,600,202,0.3367,4000,14.82,5.6,0,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0066,TNM-C0022,2026-04-01,Northern,Rumphi,Rural,Female,35–44,Student,56,Mid-range Smartphone,4G,Entertainment,Mxit 1000,Data Heavy,1000,TNM Smart App,Airtime Balance,Yes,4,405,12,65,1620,1318,0.8136,48,17,0.3542,260,90,0.3462,4000,7.65,6.8,3,0,None,Not Applicable,0.0,4,6,Yes,Low,Active
REC-0067,TNM-C0022,2026-05-01,Northern,Rumphi,Rural,Female,35–44,Student,57,Mid-range Smartphone,4G,Entertainment,Mxit 10000,Data Heavy,10000,USSD *202#,Mpamba Wallet,No,2,11059,210,650,22118,19802,0.8953,420,215,0.5119,1300,622,0.4785,20000,17.56,1.5,1,0,None,Not Applicable,0.0,5,9,Yes,Low,Active
REC-0068,TNM-C0022,2026-06-01,Northern,Rumphi,Rural,Female,35–44,Student,58,Mid-range Smartphone,4G,Entertainment,Mxit 2000,Data Heavy,2000,TNM Smart App,Airtime Balance,No,1,1382,30,195,1382,1170,0.8466,30,5,0.1667,195,57,0.2923,2000,6.56,4.5,1,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0069,TNM-C0023,2026-01-01,Northern,Mzuzu,Urban,Female,18–24,Student,54,Entry Smartphone,4G,Mobile Money,Mxit 500,Data Heavy,500,USSD *202#,Airtime Balance,No,3,162,5,20,486,150,0.3086,15,12,0.8,60,42,0.7,1500,14.92,4.6,3,0,None,Not Applicable,0.0,3,4,Yes,Medium,Active
REC-0070,TNM-C0023,2026-02-01,Northern,Mzuzu,Urban,Female,18–24,Student,55,Entry Smartphone,4G,Mobile Money,Mxit 500,Voice Heavy,500,TNM Smart App,Mpamba Wallet,No,5,74,12,30,370,145,0.3919,60,37,0.6167,150,100,0.6667,2500,28.98,0.6,0,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
REC-0071,TNM-C0023,2026-03-01,Northern,Mzuzu,Urban,Female,18–24,Student,56,Entry Smartphone,4G,Mobile Money,Mxit 2000,Balanced,2000,TNM Smart App,Airtime Balance,No,1,1024,50,300,1024,590,0.5762,50,22,0.44,300,218,0.7267,2000,9.48,4.4,1,0,None,Not Applicable,0.0,3,4,Yes,Medium,Active
REC-0072,TNM-C0023,2026-04-01,Northern,Mzuzu,Urban,Female,18–24,Student,57,Entry Smartphone,4G,Mobile Money,Mxit 500,Balanced,500,USSD *202#,Airtime Balance,No,7,120,8,30,840,227,0.2702,56,39,0.6964,210,122,0.581,3500,23.76,5.5,2,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
